Date,Source Files,Statements,Lines,Comment Lines,Documentation Lines,Data Files,Data Bytes,User,Routines,Classes
30-Sep-2015 15:36,4,42,208,22,119,5,53375,michaelmara,6,1
30-Sep-2015 16:57,6,5177,11599,1720,135,5,37071,michaelmara,219,15
30-Sep-2015 17:20,6,5183,11607,1721,135,5,37247,michaelmara,219,15
30-Sep-2015 21:18,6,5191,11620,1722,135,8,52506,michaelmara,219,15
30-Sep-2015 21:46,6,5228,11681,1722,135,8,37794,michaelmara,219,15
30-Sep-2015 22:30,8,5374,12024,1804,135,8,39513,michaelmara,226,15
30-Sep-2015 22:35,8,5376,12026,1804,135,8,37830,michaelmara,226,15
03-Oct-2015 15:50,8,5391,12046,1804,135,8,40949,michaelmara,226,15
03-Oct-2015 16:12,8,5401,12065,1805,135,8,42353,michaelmara,228,15
03-Oct-2015 17:20,8,5401,12065,1805,135,9,43675,michaelmara,228,15
04-Oct-2015 23:46,8,5491,12261,1810,173,29,1461140,michaelmara,233,15
04-Oct-2015 23:55,8,5491,12261,1810,173,29,1479167,michaelmara,233,15
05-Oct-2015 15:37,8,5491,12262,1810,173,30,1960542,michaelmara,233,15
05-Oct-2015 16:43,8,5491,12262,1810,173,30,13939055,michaelmara,233,15
05-Oct-2015 16:48,8,5491,12262,1810,173,30,1995620,michaelmara,233,15
06-Oct-2015 16:08,8,5491,12262,1810,173,30,6564805,michaelmara,233,15
06-Oct-2015 16:18,8,5491,12262,1810,173,30,3544487,michaelmara,233,15
06-Oct-2015 20:28,8,5491,12262,1810,173,30,7451582,michaelmara,233,15
06-Oct-2015 20:39,8,5491,12262,1810,173,30,4947733,michaelmara,233,15
30-Sep-2015 22:30,8,5375,12024,1804,135,8,39513,michaelmara,226,15
30-Sep-2015 22:30,8,5374,12024,1804,135,8,39513,michaelmara,226,15
